zone,time_6h,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_temperature_0_to_7cm,et0_fao_evapotranspiration,precip_lag_6h,precip_lag_12h,precip_lag_24h,precip_lag_48h,temp_lag_24h,precip_roll_sum_24h,precip_roll_sum_48h,precip_roll_sum_72h,precip_roll_max_24h,humidity_roll_max_24h,et0_roll_sum_24h,api_7d,soil_saturation_index,soil_moisture_change_6h,soil_moisture_deficit,frozen_ground_flag,temp_trend_24h,et_deficit_6h,et_deficit_24h,humidity_precip_product,highland_precip_24h,zone_cascade_risk,hour_sin,hour_cos,doy_sin,doy_cos,is_winter,dq_score,is_flood,risk_score,flood_pred,risk_level
Low Relief,2026-05-15 12:00:00,25.599999999999998,55.666666666666664,0.1,7.616666666666667,0.059,0.23216666666666666,27.416666666666668,2.13,0.0,0.0,0.0,0.0,22.51666666666667,0.1,0.1,0.1,0.1,92.5,3.4699999999999998,0.1,0.14558333333333334,-0.0028333333333333335,0.30441666666666667,0,3.0833333333333286,-2.03,-3.3699999999999997,5.566666666666666,0.7,0.7,1.2246467991473532e-16,-1.0,0.7295575540864875,-0.6839194216246106,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-15 18:00:00,21.25,72.0,0.5,28.599999999999998,0.0645,0.232,24.150000000000002,0.7000000000000002,0.1,0.0,0.0,0.0,18.783333333333335,0.6,0.6,0.6,0.5,92.5,3.74,0.585,0.14825,0.005500000000000005,0.30175,0,2.466666666666665,-0.20000000000000018,-3.14,36.0,4.2,4.2,-1.0,-1.8369701987210297e-16,0.7295575540864875,-0.6839194216246106,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-16 00:00:00,19.0,68.0,0.1,28.166666666666668,0.068,0.23133333333333336,19.716666666666665,0.55,0.5,0.1,0.0,0.0,17.400000000000002,0.7,0.7,0.7,0.5,73.66666666666667,4.28,0.5972500000000001,0.14966666666666667,0.003500000000000003,0.30033333333333334,0,1.5999999999999979,-0.45000000000000007,-3.58,6.800000000000001,4.2,4.2,0.0,1.0,0.717676913675962,-0.6963762255968722,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-16 06:00:00,17.71666666666667,61.5,0.5,33.0,0.07033333333333334,0.231,19.1,1.22,0.1,0.5,0.0,0.0,20.78333333333333,1.2,1.2,1.2,0.5,72.0,4.6,0.94625,0.15066666666666667,0.00233333333333334,0.29933333333333334,0,-3.066666666666663,-0.72,-3.3999999999999995,30.75,4.3,4.3,1.0,6.123233995736766e-17,0.717676913675962,-0.6963762255968722,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-16 12:00:00,17.01666666666667,49.666666666666664,0.0,33.01666666666666,0.068,0.23033333333333336,20.55,1.9300000000000002,0.5,0.1,0.1,0.0,25.599999999999998,1.1,1.2,1.2,0.5,72.0,4.4,0.549450625,0.14916666666666667,-0.00233333333333334,0.30083333333333334,0,-8.583333333333329,-1.9300000000000002,-3.3000000000000003,0.0,4.3,4.3,1.2246467991473532e-16,-1.0,0.717676913675962,-0.6963762255968722,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-16 18:00:00,15.16666666666667,53.666666666666664,0.0,17.433333333333334,0.06833333333333334,0.23,17.833333333333332,0.6400000000000001,0.0,0.5,0.5,0.0,21.25,0.6,1.2,1.2,0.5,68.0,4.34,0.6222531250000001,0.14916666666666667,0.00033333333333333826,0.30083333333333334,0,-6.08333333333333,-0.6400000000000001,-3.7399999999999998,0.0,1.9,1.9,-1.0,-1.8369701987210297e-16,0.717676913675962,-0.6963762255968722,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-17 00:00:00,13.65,62.0,0.0,4.633333333333334,0.07050000000000001,0.23,14.816666666666665,0.05,0.0,0.0,0.1,0.0,19.0,0.5,1.2,1.2,0.5,62.0,3.8400000000000003,0.052200625,0.15025,0.002166666666666664,0.29975,0,-5.35,-0.05,-3.3400000000000003,0.0,2.4,2.4,0.0,1.0,0.705583610107178,-0.7086266782644596,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-17 06:00:00,14.25,70.0,0.1,19.883333333333333,0.071,0.22933333333333336,16.3,0.8,0.0,0.0,0.5,0.0,17.71666666666667,0.1,1.3,1.3,0.1,70.0,3.42,0.361003125,0.15016666666666667,0.0004999999999999866,0.29983333333333334,0,-3.4666666666666686,-0.7000000000000001,-3.32,7.0,2.3,2.3,1.0,6.123233995736766e-17,0.705583610107178,-0.7086266782644596,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-17 12:00:00,15.9,59.0,0.5,21.416666666666668,0.071,0.229,19.866666666666667,1.6500000000000001,0.1,0.0,0.0,0.1,17.01666666666667,0.6,1.7000000000000002,1.8,0.5,70.0,3.1400000000000006,0.585,0.15,0.0,0.30000000000000004,0,-1.116666666666669,-1.1500000000000001,-2.5400000000000005,29.5,1.6,1.6,1.2246467991473532e-16,-1.0,0.705583610107178,-0.7086266782644596,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-17 18:00:00,14.133333333333333,69.0,0.0,10.616666666666667,0.07016666666666667,0.229,16.8,0.36,0.5,0.1,0.0,0.5,15.16666666666667,0.6,1.2,1.8,0.5,70.0,2.86,0.49724999999999997,0.14958333333333335,-0.0008333333333333248,0.30041666666666667,0,-1.0333333333333368,-0.36,-2.26,0.0,0.5,0.5,-1.0,-1.8369701987210297e-16,0.705583610107178,-0.7086266782644596,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-18 00:00:00,12.15,85.0,0.0,5.833333333333333,0.0715,0.22833333333333336,12.733333333333333,0.0,0.0,0.5,0.0,0.1,13.65,0.6,1.1,1.8,0.5,85.0,2.81,0.36125,0.14991666666666667,0.0013333333333333253,0.30008333333333337,0,-1.5,0.0,-2.21,0.0,0.0,0.0,0.0,1.0,0.6932812268869777,-0.7206671495538609,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-18 06:00:00,15.600000000000001,64.66666666666667,0.0,13.450000000000001,0.0715,0.228,16.066666666666666,1.21,0.0,0.0,0.1,0.5,14.25,0.5,0.6,1.8,0.5,85.0,3.22,0.052200625,0.14975,0.0,0.30025,0,1.3500000000000014,-1.21,-2.72,0.0,0.1,0.1,1.0,6.123233995736766e-17,0.6932812268869777,-0.7206671495538609,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-18 12:00:00,18.28333333333333,61.0,0.0,29.383333333333336,0.0656,0.2272,22.439999999999998,2.0300000000000002,0.0,0.0,0.5,0.0,15.9,0.0,0.6,1.7000000000000002,0.0,85.0,3.6,0.261003125,0.1464,-0.005899999999999989,0.3036,0,2.383333333333331,-2.0300000000000002,-3.6,0.0,0.6,0.6,1.2246467991473532e-16,-1.0,0.6932812268869777,-0.7206671495538609,0,1.0,0,0.0,0,LOW
